COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
ACCT 351,1,Intermediate Financial Acct 1,12/16/2019,9:00,GYM,Fieldhouse,37-40,AAA,ZZZ
ACCT 351,2,Intermediate Financial Acct 1,12/16/2019,9:00,GYM,Fieldhouse,37-40,AAA,ZZZ
ACCT 351,3,Intermediate Financial Acct 1,12/16/2019,9:00,GYM,Fieldhouse,37-40,AAA,ZZZ
ACCT 352,1,Intermediate Financial Acct 2,12/16/2019,9:00,GYM,main gym,31-35,AAA,ZZZ
ACCT 352,2,Intermediate Financial Acct 2,12/16/2019,9:00,GYM,main gym,31-35,AAA,ZZZ
ACCT 354,1,Financial Statement Analysis,12/18/2019,9:00,GYM,Fieldhouse,29-31,AAA,ZZZ
ACCT 354,2,Financial Statement Analysis,12/18/2019,9:00,GYM,Fieldhouse,29-31,AAA,ZZZ
ACCT 361,1,Management Accounting,12/9/2019,9:00,GYM,main gym,2-11,AAA,ZZZ
ACCT 361,2,Management Accounting,12/9/2019,9:00,GYM,main gym,2-11,AAA,ZZZ
ACCT 361,3,Management Accounting,12/9/2019,9:00,GYM,main gym,2-11,AAA,ZZZ
ACCT 362,1,Cost Accounting,12/5/2019,9:00,GYM,main gym,41-42,AAA,ZZZ
ACCT 385,1,Principles of Taxation,12/5/2019,14:00,GYM,Fieldhouse,23-25,AAA,ZZZ
ACCT 385,2,Principles of Taxation,12/5/2019,14:00,GYM,Fieldhouse,23-25,AAA,ZZZ
ACCT 453,1,Advanced Financial Accounting,12/9/2019,9:00,GYM,Studio 2,1-6,AAA,ZZZ
ACCT 453,2,Advanced Financial Accounting,12/9/2019,9:00,GYM,Studio 2,1-6,AAA,ZZZ
ACCT 463,1,Management Control,12/16/2019,18:30,GYM,Studio 1,1-4,AAA,ZZZ
ACCT 463,2,Management Control,12/16/2019,18:30,GYM,Studio 1,1-4,AAA,ZZZ
ACCT 475,1,Principles of Auditing,12/17/2019,14:00,GYM,Fieldhouse,39-40,AAA,ZZZ
ACCT 486,1,Business Taxation 2,12/12/2019,18:30,GYM,Studio 2,1-6,AAA,ZZZ
ACCT 486,2,Business Taxation 2,12/12/2019,18:30,GYM,Studio 2,1-6,AAA,ZZZ
ACCT 683,45,Practice of Taxation,4-Dec,9:00,BRONFMAN,205,,AAA,ZZZ
ACCT 687,45,Assurance Services,4-Dec,9:00,ARMST,075,,AAA,ZZZ
AEBI 120,1,General Biology,12/6/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AEBI 210,1,Organisms 1,12/12/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AECH 110,1,General Chemistry 1,12/9/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AEHM 205,1,Science Literacy,12/17/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AEHM 330,1,Academic & Scientific Writing,12/5/2019,14:00,TAKE,HOME,,AAA,ZZZ
AEMA 101,1,Calculus 1,12/18/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AEMA 202,1,Intermediate Calculus,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AEMA 310,1,Statistical Methods 1,12/9/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AEMA 610,1,Statistical Methods 2,12/17/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AEPH 112,1,Introductory Physics 1,12/11/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AEPH 113,1,Physics 1,12/11/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AGEC 200,1,Principles of Microeconomics,12/16/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AGEC 330,1,Agriculture and Food Markets,12/16/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AGEC 332,1,Farm Management and Finance,12/6/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AGEC 333,1,Resource Economics,12/11/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
AGEC 491,1,Research & Methodology,12/10/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
AGRI 215,1,Agro-Ecosystems Field Course,12/13/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
ANAT 214,1,Systemic Human Anatomy,12/12/2019,9:00,SADB,M-1 & 1/56,,AAA,ZZZ
ANAT 214,1,Systemic Human Anatomy,12/18/2019,14:00,SADB,2/49,,AAA,ZZZ
ANAT 261,1,Intro to Dynamic Histology,12/11/2019,9:00,SADB,1/56,,AAA,ZZZ
ANAT 261,1,Intro to Dynamic Histology,12/13/2019,14:00,GYM,Fieldhouse,37-46,AAA,ZZZ
ANAT 315,1,Clin Hum Musculoskeletal Anat,12/5/2019,14:00,SADB,2/49,,AAA,ZZZ
ANAT 315,1,Clin Hum Musculoskeletal Anat,12/6/2019,9:00,GYM,Fieldhouse,1-7,AAA,ZZZ
ANAT 321,1,Circuitry of the Human Brain,12/10/2019,9:00,GYM,main gym,22-37,AAA,ZZZ
ANAT 323,1,Clinical Neuroanatomy,12/16/2019,14:00,SADB,2/49,,AAA,ZZZ
ANAT 323,1,Clinical Neuroanatomy,12/19/2019,9:00,GYM,Studio 2,1-7,AAA,ZZZ
ANAT 365,1,Cellular Trafficking,12/11/2019,14:00,GYM,Fieldhouse,35-36,AAA,ZZZ
ANAT 381,1,Experimental Embryology,12/19/2019,14:00,GYM,main gym,3-7,AAA,ZZZ
ANSC 250,1,Principles of Animal Science,12/5/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
ANSC 323,1,Mammalian Physiology,12/11/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
ANSC 326,1,Fundamentals of Pop'n Genetics,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
ANSC 504,1,Population Genetics,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
ANTH 202,1,Socio-Cultural Anthropology,12/5/2019,14:00,GYM,Fieldhouse,26-37,AAA,ZZZ
ANTH 227,1,Medical Anthropology,12/10/2019,18:30,GYM,Fieldhouse,4-13,AAA,ZZZ
ANTH 325,1,Anthropology of the Self,12/16/2019,18:30,TAKE,HOME,,AAA,ZZZ
ANTH 326,1,Anthropology of Latin America,12/6/2019,14:00,GYM,main gym,22-26,AAA,ZZZ
ANTH 352,1,Hist of Anthropological Theory,12/13/2019,18:30,TAKE,HOME,,AAA,ZZZ
ANTH 412,1,Topics:Anthropological Theory,12/13/2019,18:30,TAKE,HOME,,AAA,ZZZ
ARCH 201,1,"Communication, Behaviour&Arch",Dec 5/6,9:00,MDHAR,114,,AAA,ZZZ
ARCH 303,1,Design and Construction 1,Dec 5/6,9:00,MDHAR,101,,AAA,ZZZ
ARCH 303,2,Design and Construction 1,Dec 5/6,9:00,MDHAR,102,,AAA,ZZZ
ARCH 303,3,Design and Construction 1,Dec 5/6,9:00,MDHAR,101,,AAA,ZZZ
ARCH 303,7,Design and Construction 1,Dec 5/6,9:00,MDHAR,102,,AAA,ZZZ
ARCH 354,1,Architectural History 3,12/13/2019,9:00,GYM,Fieldhouse,41-42,AAA,ZZZ
ARCH 354,2,Architectural History 3,12/13/2019,9:00,GYM,Fieldhouse,41-42,AAA,ZZZ
ARCH 375,1,Landscape,12/10/2019,9:00,MDHAR,G-10,,AAA,ZZZ
ARCH 405,1,Design and Construction 3,Dec 9/10,9:00,MDHAR,114,,AAA,ZZZ
ARCH 405,2,Design and Construction 3,Dec 9/10,9:00,MDHAR,101,,AAA,ZZZ
ARCH 405,3,Design and Construction 3,Dec 9/10,9:00,MDHAR,102,,AAA,ZZZ
ARCH 405,7,Design and Construction 3,Dec 9/10,9:00,MDHAR,207,,AAA,ZZZ
ARCH 672,1,Architectural Design 1,Dec 11/12/13,9:00,MDHAR,114,,AAA,ZZZ
ARCH 672,3,Architectural Design 1,Dec 11/12/13,9:00,MDHAR,101,,AAA,ZZZ
ARCH 672,5,Architectural Design 1,Dec 11/12/13,9:00,MDHAR,102,,AAA,ZZZ
ARCH 677,1,Architectural Design 3,Dec 16/17,9:00,MDHAR,114,,AAA,ZZZ
ARCH 677,3,Architectural Design 3,Dec 16/17,9:00,MDHAR,101,,AAA,ZZZ
ARCH 683,1,Directed Research Project,Dec 18/19/20,9:00,MDHAR,114,,AAA,ZZZ
ARTH 223,1,Intro Ital Renai Art 1300-1500,12/5/2019,14:00,MAASS,112,,AAA,ZZZ
ARTH 321,1,Visual Culture-Dutch Republic,12/9/2019,18:30,TAKE,HOME,,AAA,ZZZ
ARTH 339,1,Critical Issues-Contemp Art,12/16/2019,14:00,ARTS,W-215,,AAA,ZZZ
ARTH 354,1,Selected Topics Art History 2,12/12/2019,18:30,LEACOCK,232,,AAA,ZZZ
ATOC 181,1,Intro to Atmospheric Science,12/9/2019,9:00,GYM,305,1-6,AAA,LIN
ATOC 181,1,Intro to Atmospheric Science,12/9/2019,9:00,GYM,408,1-6,LOI,ZZZ
ATOC 185,1,Natural Disasters,12/19/2019,18:30,GYM,main gym,3-41,AAA,ZZZ
ATOC 214,1,Intro:Physics of the Atmosph,12/16/2019,14:00,BURN,1B45,,AAA,ZZZ
ATOC 312,1,Rotating Fluid Dynamics,12/12/2019,9:00,BURN,719A,,AAA,ZZZ
ATOC 315,1,Thermodynamics and Convection,12/16/2019,14:00,BURN,719A,,AAA,ZZZ
ATOC 404,1,Climate Physics,12/18/2019,9:00,BURN,719A,,AAA,ZZZ
ATOC 512,1,Atmospheric & Oceanic Dynamics,12/20/2019,9:00,BURN,719A,,AAA,ZZZ
ATOC 531,1,Dynamics of Current Climates,12/5/2019,9:00,BURN,719A,,AAA,ZZZ
ATOC 540,1,Synoptic Meteorology 1,12/19/2019,9:00,BURN,719A,,AAA,ZZZ
BIEN 200,1,Introduction to Bioengineering,12/13/2019,9:00,GYM,Fieldhouse,43-45,AAA,ZZZ
BIEN 290,1,Bioengineering Measurement Lab,12/5/2019,14:00,ENGTR,1100,,AAA,ZZZ
BIEN 310,1,Intro to Biomolecular Eng,12/12/2019,14:00,ENGTR,0060,,AAA,ZZZ
BIEN 314,1,Transp. Phenom in Biol. Sys 1,12/18/2019,9:00,GYM,main gym,18-19,AAA,ZZZ
BIEN 350,1,"Biosignals, Systems & Control",12/19/2019,9:00,GYM,Fieldhouse,38-39,AAA,ZZZ
BIEN 410,1,Comput Methods in Biomol Eng,12/17/2019,9:00,ENGTR,0060,,AAA,ZZZ
BIOC 311,1,Metabolic Biochemistry,12/19/2019,9:00,GYM,Fieldhouse,25-37,AAA,ZZZ
BIOC 320,1,Lab Meth in Biochem&Mol Biol 2,12/10/2019,18:30,GYM,Studio 1,1-4,AAA,ZZZ
BIOC 450,1,Protein Structure and Function,12/10/2019,9:00,GYM,Fieldhouse,42-44,AAA,ZZZ
BIOC 454,1,Nucleic Acids,12/6/2019,9:00,GYM,main gym,40-44,AAA,ZZZ
BIOL 111,1,Principles:Organismal Biology,12/9/2019,9:00,GYM,Fieldhouse,27-41,AAA,ZZZ
BIOL 115,1,Essential Biology,12/11/2019,14:00,GYM,Fieldhouse,18-27,AAA,ZZZ
BIOL 200,1,Molecular Biology,12/9/2019,18:30,GYM,Fieldhouse,22-36,AAA,ZZZ
BIOL 200,2,Molecular Biology,12/9/2019,18:30,GYM,Fieldhouse,1-21,AAA,ZZZ
BIOL 210,1,Perspectives of Science,12/16/2019,9:00,STBIO,S1/4,,AAA,ZZZ
BIOL 215,1,Intro to Ecology and Evolution,12/10/2019,18:30,GYM,Fieldhouse,27-32,AAA,ZZZ
BIOL 219,1,Intro to Phys Mol & Cell Biol,12/19/2019,9:00,STBIO,S1/4,,AAA,ZZZ
BIOL 300,1,Molecular Biology of the Gene,12/13/2019,9:00,GYM,main gym,32-38,AAA,ZZZ
BIOL 301,1,Cell and Molecular Laboratory,12/9/2019,18:30,GYM,main gym,25-36,AAA,ZZZ
BIOL 304,1,Evolution,12/18/2019,14:00,STBIO,S1/4,,AAA,ZZZ
BIOL 306,1,Neural Basis of Behaviour,12/17/2019,9:00,GYM,Studio 1,1-7,AAA,PAQ
BIOL 306,1,Neural Basis of Behaviour,12/17/2019,9:00,GYM,Studio 2,1-7,PAR,ZZZ
BIOL 308,1,Ecological Dynamics,12/19/2019,18:30,GYM,Fieldhouse,39-41,AAA,ZZZ
